predator,replication,treatment,eggs_start,eggs_end,eggs_eaten,Pconsumed
Orius,1,1,26,26,0,0
Orius,1,2,52,48,4,0.083333333
Orius,1,3,78,77,1,0.012987013
Orius,1,4,104,102,2,0.019607843
Orius,2,1,26,25,1,0.04
Orius,2,2,52,51,1,0.019607843
Orius,2,3,78,77,1,0.012987013
Orius,2,4,104,101,3,0.02970297
Orius,3,1,26,26,0,0
Orius,3,2,52,52,0,0
Orius,3,3,78,78,0,0
Orius,3,4,104,100,4,0.04
Orius,4,1,26,26,0,0
Orius,4,2,52,52,0,0
Orius,4,3,78,77,1,0.012987013
Orius,4,4,104,104,0,0
Orius,5,1,26,25,1,0.04
Orius,5,2,52,52,0,0
Orius,5,3,78,78,0,0
Orius,5,4,104,101,3,0.02970297
Orius,6,1,26,25,1,0.04
Orius,6,2,52,51,1,0.019607843
Orius,6,3,78,71,7,0.098591549
Orius,6,4,104,104,0,0
Orius,7,1,26,26,0,0
Orius,7,2,52,51,1,0.019607843
Orius,7,3,78,77,1,0.012987013
Orius,7,4,104,100,4,0.04
Orius,8,1,26,25,1,0.04
Orius,8,2,52,52,0,0
Orius,8,3,78,77,1,0.012987013
Orius,8,4,104,102,2,0.019607843
Orius,9,1,26,25,1,0.04
Orius,9,2,52,50,2,0.04
Orius,9,3,78,77,1,0.012987013
Orius,9,4,104,100,4,0.04
Orius,10,1,26,26,0,0
Orius,10,2,52,52,0,0
Orius,10,3,78,75,3,0.04
Orius,10,4,104,103,1,0.009708738
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
